%
% Rehmertz Testing Result
% Reference to the table-2 "实验室中的模拟试验 - 雷墨磁1和雷墨磁3"
%
@relation Rehmertz

@attribute torque-diff numeric
@attribute resistance-diff numeric
@attribute cost numeric
@attribute result {pass, fail}

@data
1.0,0.4,0.4,fail
0.7,0.9,1.1,pass
4.0,4.0,4.00,fail
4.0,4.0,6.00,pass
0.7,0.8,0.75,fail
1.4,1.0,1.25,pass
